trip_status,ride_hailing_app,trip_time,total_time,wait_time,trip_type,surge_multiplier,vehicle_make,driver_gender,trip_map_image_url,price_usd,distance_kms,temperature_value,humidity,wind_speed,cloudness,weather_main,weather_desc,precipitation
Completed,Uber,0:06:51,12,5,uberX,1.0,Volkswagen,1,Saint Petersburg,1.39,1.75,-16,0.85,0.28,0.86,partly-cloudy-night,Mostly Cloudy,none
Completed,Uber,0:31:32,50,18,uberX,1.0,Hyundai,1,Saint Petersburg,4.58,12.39,2,0.96,2.76,1,cloudy,Overcast,rain
Completed,Uber,0:30:06,37,6,uberX,1.0,Ford,1,Saint Petersburg,4.7,13.21,0,0.91,2.15,0.97,cloudy,Overcast,none
Completed,Uber,0:05:14,10,4,uberX,1.0,Volkswagen,1,Saint Petersburg,1.25,1.06,1,0.73,4.66,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:26:25,33,6,uberX,1.0,Chevrolet,1,Saint Petersburg,4.59,15.68,-10,0.91,0.79,0.27,partly-cloudy-night,Partly Cloudy,none
Completed,Gett,0:18:01,21,2,Comfort,,Skoda,1,Saint Petersburg,4.93,5.71,2,0.93,2.41,0.97,rain,Drizzle,rain
Completed,Uber,0:11:03,14,2,uberX,1.0,Volkswagen,1,Saint Petersburg,2.16,3.51,1,0.81,2.84,0.8,partly-cloudy-day,Mostly Cloudy,none
Completed,Gett,0:10:50,19,8,Comfort,,Volkswagen,1,Saint Petersburg,3.0,5.9,4,0.72,4.38,0.76,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:08:10,14,5,uberX,1.0,Nissan,1,Saint Petersburg,1.86,2.74,-5,0.8,0.95,0.81,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:19:16,29,9,uberX,1.0,Audi,1,Saint Petersburg,3.34,6.42,3,0.45,2.91,0.92,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:14:43,24,9,uberX,1.0,Toyota,1,Saint Petersburg,2.83,5.92,2,0.53,3.12,1,cloudy,Overcast,none
Cancelled,Uber,0:11:14,14,2,uberX,1.0,Lifan,1,Saint Petersburg,2.0,0.92,7,0.57,1.41,0.75,rain,Light Rain,rain
Completed,Gett,0:04:40,8,3,Comfort,,Hyundai,1,Saint Petersburg,1.93,2.15,7,0.57,1.68,0.75,rain,Light Rain,rain
Completed,Uber,0:46:02,51,4,uberBLACK,1.0,Mercedes-Benz,1,Saint Petersburg,26.33,46.74,6,0.55,0.27,0.31,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:16:04,26,9,uberX,1.0,Audi,1,Saint Petersburg,3.07,6.74,11,0.71,5.18,0.3,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:30:37,36,5,uberX,1.0,Volkswagen,1,Saint Petersburg,5.5,15.08,11,0.52,3.56,0.17,clear-day,Clear,none
Completed,Uber,0:37:09,38,0,uberX,1.0,Ford,1,Saint Petersburg,14.85,45.68,2,0.97,3.52,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:12:09,20,7,uberX,1.0,Kia,0,Saint Petersburg,2.45,4.23,2,0.91,1.48,0.34,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:16:18,17,0,uberX,1.0,Volkswagen,1,Saint Petersburg,3.26,6.24,14,0.41,3.94,0.77,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:17:07,24,6,uberX,1.0,Skoda,1,Saint Petersburg,3.7,10.61,8,0.69,5.29,0.75,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:15:43,17,1,uberX,1.0,Volkswagen,1,Saint Petersburg,3.18,7.08,9,0.83,2.77,0.08,clear-day,Clear,none
Completed,Uber,0:15:55,19,3,uberX,1.0,Kia,1,Saint Petersburg,3.17,6.78,9,0.86,2.46,0.46,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:20:16,27,6,uberX,1.0,Chevrolet,1,Saint Petersburg,4.18,11.33,15,0.43,1.8,0.71,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:06:32,13,6,uberX,1.0,Nissan,1,Saint Petersburg,1.69,2.38,18,0.36,1.93,0.23,clear-day,Clear,none
Completed,Uber,0:18:02,23,4,uberX,1.0,Renault,1,Saint Petersburg,3.48,8.01,17,0.39,1.47,0.6,partly-cloudy-day,Mostly Cloudy,none
Cancelled,Uber,0:01:00,6,5,uberX,1.0,Ford,1,Saint Petersburg,1.51,0.01,17,0.39,1.33,0.02,clear-day,Clear,none
Completed,Uber,0:20:14,34,13,uberX,1.0,Kia,1,Saint Petersburg,4.1,10.99,17,0.38,1.35,0,clear-day,Clear,none
Completed,Uber,0:14:29,26,11,uberX,1.0,Kia,1,Saint Petersburg,2.85,5.33,21,0.29,3.12,0,clear-day,Clear,none
Completed,Uber,0:28:54,36,7,uberX,1.0,Hyundai,1,Saint Petersburg,4.82,9.4,22,0.29,3.0,0.04,clear-day,Clear,none
Completed,Uber,0:24:07,28,3,uberX,1.0,Kia,1,Saint Petersburg,4.87,14.68,21,0.31,1.39,0.03,clear-day,Clear,none
Completed,Uber,0:15:19,20,4,uberX,1.0,Volvo,1,Saint Petersburg,3.13,7.11,18,0.35,1.97,0,clear-day,Clear,none
Completed,Uber,0:08:33,18,9,uberX,1.0,Lifan,1,Saint Petersburg,2.06,3.77,17,0.38,2.32,0.23,clear-day,Clear,none
Completed,Uber,0:19:28,25,5,uberX,1.0,Hyundai,1,Saint Petersburg,3.74,8.14,10,0.6,5.04,0.38,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:17:44,19,1,uberX,1.0,Renault,1,Saint Petersburg,3.25,5.39,13,0.38,0.88,0.31,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:31:38,44,12,uberX,1.0,Nissan,1,Saint Petersburg,5.78,15.14,17,0.3,3.31,0.34,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:17:04,19,1,uberX,1.0,Dacia,1,Saint Petersburg,3.28,6.47,16,0.33,3.54,0.09,clear-day,Clear,none
Completed,Uber,0:18:01,28,9,uberX,1.0,Renault,1,Saint Petersburg,4.09,13.04,15,0.38,2.58,0.08,clear-day,Clear,none
Completed,Uber,0:26:55,31,4,uberX,1.0,Hyundai,1,Saint Petersburg,4.94,12.05,18,0.35,5.3,0.53,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:36:24,44,7,uberX,1.0,Hyundai,0,Saint Petersburg,6.5,17.11,18,0.34,5.7,0.74,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:08:22,12,3,uberX,1.0,Chevrolet,1,Saint Petersburg,1.98,3.01,19,0.33,5.46,0.73,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:12:21,18,5,uberX,1.0,Toyota,1,Saint Petersburg,2.52,4.22,18,0.35,2.86,0.11,clear-day,Clear,none
Completed,Uber,0:09:14,16,6,uberX,1.0,Nissan,1,Saint Petersburg,2.16,3.7,15,0.46,5.55,0.39,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:19:13,25,5,uberX,1.0,Hyundai,1,Saint Petersburg,3.72,8.16,18,0.34,4.38,0.73,partly-cloudy-day,Mostly Cloudy,rain
Completed,Uber,0:24:30,28,3,uberX,1.0,Ford,1,Saint Petersburg,3.85,5.09,14,0.66,1.68,0.83,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:33:34,47,13,uberX,1.0,Citroen,1,Saint Petersburg,4.97,6.73,16,0.54,1.86,0,clear-day,Clear,none
Completed,Uber,0:26:26,34,7,uberX,1.0,Hyundai,1,Saint Petersburg,5.74,20.68,15,0.71,1.06,0.86,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:32:16,42,9,uberX,1.0,Chevrolet,1,Saint Petersburg,5.86,15.98,16,0.66,2.42,0,clear-day,Clear,none
Completed,Uber,0:02:40,7,4,uberX,1.0,Volkswagen,1,Saint Petersburg,1.23,1.85,16,0.8,2.01,0,clear-day,Clear,none
Cancelled,Uber,0:15:32,27,11,uberX,1.0,Nissan,1,Saint Petersburg,2.48,0.93,23,0.33,3.2,0.4,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:05:48,18,12,uberX,1.0,Hyundai,1,Saint Petersburg,1.76,3.38,16,0.35,4.18,0.47,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:16:24,24,7,uberX,1.0,Renault,1,Saint Petersburg,3.63,10.11,13,0.53,1.06,0.59,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:21:32,28,6,uberX,1.0,Seat,1,Saint Petersburg,4.15,10.17,10,0.71,1.53,0.44,partly-cloudy-day,Partly Cloudy,rain
Completed,Uber,0:08:39,13,4,uberX,1.0,Kia,1,Saint Petersburg,2.17,4.6,13,0.69,4.0,0.89,rain,Light Rain,rain
Completed,Uber,0:12:53,22,9,uberX,1.0,Renault,1,Saint Petersburg,3.2,9.96,9,0.85,3.72,0.98,cloudy,Overcast,none
Completed,Uber,0:14:45,20,5,uberX,1.0,Lada,1,Saint Petersburg,3.45,10.53,8,0.83,1.59,0.39,partly-cloudy-night,Partly Cloudy,none
Completed,Uber,0:17:25,22,4,uberX,1.0,Nissan,1,Saint Petersburg,3.86,11.6,22,0.39,3.49,0.72,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:26:41,35,8,uberX,1.0,Kia,1,Saint Petersburg,5.01,13.31,19,0.89,4.05,0.53,rain,Light Rain,rain
Completed,Uber,0:36:29,40,3,uberX,1.0,Nissan,1,Saint Petersburg,6.17,13.6,20,0.77,3.86,0.75,rain,Light Rain,rain
Completed,Uber,0:18:27,25,6,uberX,1.0,Nissan,1,Saint Petersburg,4.09,12.34,18,0.69,6.34,0.83,partly-cloudy-day,Mostly Cloudy,rain
Completed,Uber,0:03:42,11,7,uberX,1.0,Renault,1,Saint Petersburg,1.33,1.46,15,0.89,6.8,0.99,rain,Drizzle,rain
Completed,Uber,0:16:47,25,8,uberX,1.0,Dacia,1,Saint Petersburg,3.78,10.8,20,0.64,1.84,0.34,partly-cloudy-day,Partly Cloudy,rain
Completed,Uber,0:07:58,15,7,uberX,1.0,Kia,1,Saint Petersburg,2.09,4.51,22,0.6,1.9,0.36,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:14:43,16,1,uberX,1.0,Kia,1,Saint Petersburg,2.86,5.05,23,0.6,1.99,0.53,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:05:42,10,4,uberX,1.0,Opel,1,Saint Petersburg,1.78,3.93,22,0.75,2.95,0.76,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:16:14,25,8,uberX,1.0,Kia,1,Saint Petersburg,3.35,7.23,17,0.69,1.16,0.47,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:09:13,19,9,uberX,1.0,Datsun,1,Saint Petersburg,2.3,4.7,16,0.91,3.25,0.7,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:21:48,27,5,uberX,1.0,Volkswagen,0,Saint Petersburg,4.66,14.24,20,0.85,2.75,0.96,cloudy,Overcast,none
Completed,Uber,0:08:38,17,8,uberX,1.0,Chevrolet,1,Saint Petersburg,2.08,3.51,22,0.76,2.73,0.8,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:21:31,25,3,uberX,1.0,Kia,1,Saint Petersburg,4.41,12.33,22,0.77,2.35,0.96,cloudy,Overcast,none
Completed,Gett,0:21:56,38,16,EconomyFix,,Citroen,1,Saint Petersburg,2.63,23.7,22,0.81,2.47,0.87,partly-cloudy-day,Mostly Cloudy,none
Completed,Gett,0:18:22,36,17,EconomyFix,,Kia,1,Saint Petersburg,2.26,3.74,21,0.85,2.78,0.97,cloudy,Overcast,none
Completed,Gett,0:47:58,57,9,EconomyFix,,Skoda,1,Saint Petersburg,5.28,9.54,21,0.82,2.64,0.8,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:14:31,22,7,uberX,1.0,Renault,1,Saint Petersburg,2.54,2.77,20,0.63,2.74,0.4,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:11:23,22,10,uberX,1.0,Lifan,1,Saint Petersburg,2.21,2.64,20,0.74,2.35,0.42,partly-cloudy-day,Partly Cloudy,rain
Completed,Uber,0:05:48,9,3,uberX,1.0,Kia,1,Saint Petersburg,1.71,3.38,21,0.58,4.94,0.31,partly-cloudy-day,Partly Cloudy,rain
Completed,Uber,0:14:36,25,10,uberX,1.0,Hyundai,1,Saint Petersburg,2.83,4.92,21,0.57,3.26,0.6,partly-cloudy-day,Mostly Cloudy,none
Completed,Uber,0:42:32,49,6,uberX,1.0,Volkswagen,1,Saint Petersburg,9.38,37.16,22,0.49,7.53,0.69,wind,Breezy and Mostly Cloudy,none
Completed,Uber,0:12:48,26,13,uberX,1.0,Volkswagen,1,Saint Petersburg,2.78,5.89,21,0.54,7.01,0.39,wind,Breezy and Partly Cloudy,none
Completed,Uber,0:10:45,20,9,uberX,1.0,Volkswagen,1,Saint Petersburg,2.47,4.88,17,0.59,4.11,0.15,clear-day,Clear,none
Completed,Uber,0:26:31,37,10,uberX,1.0,Mitsubishi,1,Saint Petersburg,4.41,7.0,15,0.63,3.97,0.47,partly-cloudy-day,Partly Cloudy,none
Completed,Uber,0:42:00,56,14,uberX,1.0,Volkswagen,0,Saint Petersburg,6.71,12.47,14,0.89,3.99,0.99,cloudy,Overcast,none
Completed,Uber,0:05:57,13,7,uberX,1.0,Opel,1,Saint Petersburg,1.68,2.57,16,0.59,1.22,0.72,partly-cloudy-day,Mostly Cloudy,none
